,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
1786,"(s)lr̥g-, and sler-",lr̥g slr̥g sler,,,
1787,"sme, smā̆",sme smā̆,,,
1788,"smē-, smeī-, sm-ei-",smē smeī sm smei,"?*smeh₁-{1}, ?*smei̯d-{1}","smeh₁-, smei̯d-",
1789,smeg(ʰ)-,smeg smegʰ,,,
1790,"1. (s)mei-, smeu-",mei smei smeu,*smei̯-{1},smei̯-,
1791,2. smēi- : sməi- : smī̆-,smēi : sməi : smī̆,,,
1792,"3. smēi-, smeid-, smēig-, smēik-",smēi smeid smēig smēik,,,
1793,"smeit-, smit-",smeit smit,,,
1794,smek-,smek,,,
1795,1. smel-,smel,,,
1796,2. smel-,smel,,,
1797,(s)mer-,mer smer,"1.*(s)mer-{1}, ?*h₂mert-{1}, 2.*smer-{1}","(s)mer-, h₂mert-, smer-",
