,root,searchables,liv: cross-reference,additional searchables based off of LIV and wiktionary,wiktionary link
0,ā,ā,,h₂eh₂,
1,ab-,ab ap,,h₂ep-,
2,"ā̆bel-, ā̆bō̆l-, ab<sub>e</sub>l-",ā̆bel ā̆bō̆l abel,,"h₂abō̆l-, h₂abel-",https://en.wiktionary.org/wiki/Reconstruction:Proto-Indo-European/h%E2%82%82%C3%A9b%C5%8Dl
3,abʰ-,abʰ,,abʰ-,
4,abʰro-,abʰro,,"*h₃(e)pró(s), *h₃(e)pro(s)",
5,abō(n),abō abōn,,h₂eph₃ō(n),
6,1. ad-,ad,,,
7,2. ad-,ad,*h₂ed-,h₂ed-,
8,"ades-, ados-",ades ados,,,
9,"ad(u)-, ad-ro-",ad adu ad adro,,,
10,aǵ-,aǵ,1.*h₂eg̑-{0},*h₂eg̑-,
11,ā̆ǵ-,ā̆ǵ,,,
12,aǵʰ-,aǵʰ,,,
13,"ā̆ǵʰer-, ā̆ǵʰen-, ā̆ǵʰes-, or ō̆ǵʰer etc.",ā̆ǵʰer ā̆ǵʰen ā̆ǵʰes ō̆ǵʰer,,,
14,agʰ-,agʰ,*h₂egʰ-{1},*h₂egʰ-,
15,agʰ-(lo-),agʰ agʰlo,,,
16,agʰl(u)-,agʰl agʰlu,,,
17,agos-,agos,,,
18,"agro-, egro-?",agro egro egro?,,,
19,aǵro-s,aǵro aǵros,,,
20,"agʷ(e)sī, aksī",agʷsī agʷesī aksī,,,
21,agʷʰ-no-s,agʷʰ agʷʰno agʷʰnos,,,
22,1. ai,ai,,,
23,2. ai-,ai,,,
24,3. ai-,ai,1.*h₁ai̯-{1},h₁ai̯-,
25,"ai-ti-, ai-to-, oi-to-",ai aiti ai aito oi oito,,,
26,4. ā̆i-,ā̆i,?2.*h₁ai̯-{1},h₁ai̯-,
27,5. ai- : oi-,ai : oi,,,
|,aid-,aid,,,
29,"ai-dʰ-, i-dʰ-, nasalized i-n-dʰ-",ai aidʰ i idʰ i in indʰ,*h₂ei̯dʰ-{1},h₂ei̯dʰ-,
30,"ā̆ier-, ā̆ien-",ā̆ier ā̆ien,,,
31,aiǵ-,aiǵ,,,
32,"1. aig-, nasalized ing-",aig ing,,,
33,2. aig-,aig,,,
34,3. aig-,aig,*Hei̯g-{1},Hei̯g-,
35,aigʷʰ-,aigʷʰ,,,
36,ā(i)ǵʰ- : īǵʰ-,āǵʰ āiǵʰ : īǵʰ,*Hei̯g̑ʰ-{1},Hei̯g̑ʰ-,
37,ā̆iḱ- : ī̆ḱ-,ā̆iḱ : ī̆ḱ,*h₂ei̯k̑-{1},h₂ei̯k̑-,
38,aik-,aik,,,
39,ai̯os-,ai̯os,,,
40,ai-rā,ai airā,,,
41,1. ais-,ais,*h₂ei̯s-,h₂ei̯s-,
42,2. ais-,ais,*h₂ei̯sd-{1},h₂ei̯sd-,
43,aisk-,aisk,,,
44,ai-tro-,ai aitro,,,
45,"aiu̯-, ai̯u-",aiu̯ ai̯u,,,
46,"1. aḱ-, aḱō-",aḱ aḱō,*h₂ek̑h₃-{1},h₂ek̑h₃-,
47,"2. aḱ-, oḱ-",aḱ oḱ,*h₂ek̑-,h₂ek̑-,
48,akkā,akkā,,,
49,aḱru,aḱru,,,
50,akʷ-,akʷ,,,
51,"akʷā-, more accurately əkʷā, ēkʷ-",akʷā əkʷā ēkʷ,,,
52,"1. al-, ol-",al ol,,,
53,2. al-,al,"*h₂el-{1}, *h₂eldʰ-{1}","h₂el-, h₂eldʰ-",
54,3. ā̆l-,ā̆l,"*h₂elh₂-, *h₂leu̯-","h₂elh₂-, h₂leu̯-",
55,4. al-,al,,,
56,5. al-,al,*h₂leh₁-{1},h₂leh₁-,
57,"6. al-, alōu- : aləu-",al alōu : aləu,,,
58,alā,alā,,,
59,albʰi-,albʰi,,,
60,albʰo-,albʰo,,,
61,aldʰ-,aldʰ,,,
62,aleq-,aleq,"*h₂elk-{1}, *h₂leks-{1}","h₂elk-, h₂leks-",
63,algʰ-,algʰ,?*h₂elg/g̑ʰ-{1},h₂elg(')ʰ-,
64,algʷʰ-,algʷʰ,*h₂elgʷʰ-{1},h₂elgʷʰ-,
65,alp-,alp,,,
66,"ālu-, ālo-",ālu ālo,,,
67,"alu-, alu-d-, alu-t-",alu alu alud alu alut,,,
68,"ambʰi, m̥bʰi",ambʰi m̥bʰi,,,
69,"1. am-, mē-",am mē,*h₂emH-{1},h₂emH-,
70,"2. am-, mē-",am mē,,,
71,"āmer-, āmōr, āmr̥",āmer āmōr āmr̥,,,
72,"ames-, or omes-",ames or omes,,,
73,amə-,amə,,,
74,"am(m)a, amī̆",ama amma amī̆,,,
75,1. an-,an,,,
76,2. an-,an,,,
77,3. an(ə)-,an anə,*h₂enh₁-{1},h₂enh₁-,
78,"4. an-, anu, anō, nō",an anu anō nō,,,
79,"andʰ-, anedʰ-",andʰ anedʰ,"*h₁nedʰ-{1}, ?*h₂endʰ-{1}","h₁nedʰ-, h₂endʰ-",
80,"andʰer-, ṇdʰer-",andʰer ṇdʰer,?*h₂endʰ-{1},h₂endʰ-,
81,andʰo-,andʰo,,,
82,anət-,anət,,,
83,"anətā, <sub>e</sub>nətā",anətā enətā,,,
84,anǵʰ-,anǵʰ,*h₂emg̑ʰ-{1},h₂emg̑ʰ-,
85,anǵʰen-,anǵʰen,,,
86,angʷ(ʰ)i-,angʷi angʷʰi,,,
87,1. ank-,ank,?*h₂enk̑-{1},h₂enk̑-,
88,"2. ank-, ang-",ank ang,*h₂enk-,h₂enk-,
89,āno-,āno,,,
90,ans-,ans,,,
91,"ansā, ansi-",ansā ansi,,,
92,"ansu-, ṇsu-",ansu ṇsu,,,
93,ant-s,ant ants,,,
94,antro-m,antro antrom,,,
95,"1. ap-, more accurately əp- : ēp-",ap əp : ēp,"*h₁ep-{0}, *h₂ep-","h₁ep-, h₂ep-",
96,2. ā̆p-,ā̆p,,,
97,"3. ap-, āp-",ap āp,,,
98,appa,appa,,,
99,apelo-,apelo,,,
100,āpero-,āpero,,,
101,"apo-, pō̆, ap-u, pu",apo pō̆ ap apu pu,,,
102,apsā,apsā,,,
103,"1. ar-, tʰematic (a)re-, ʰeavy-base arə-, rē-, and i-base (a)rī̆-, rēi-",ar tʰematic re are ʰeavy ʰeavybase arə rē i ibase rī̆ arī̆ rēi,1.*h₂er-{0},h₂er-,
104,"2. ar-, or er-",ar or er,2.*h₂er-,h₂er-,
105,3. ar-,ar,,,
106,"4. ar, er, or?, r̥",ar er or? r̥,*h₂erh₃-{1},h₂erh₃-,
107,5. ar-,ar,*h₂res-{1},h₂res-,
108,ar(ə)-,ar arə,,,
109,ardʰ-,ardʰ,,,
110,"ardi-, r̥di-",ardi r̥di,,,
111,areg-,areg,,,
112,"ar(e)-ǵ-, arǵ-?, r̥ǵi-",ar arǵ are areǵ arǵ arǵ? r̥ǵi,,,
113,areq-,areq,*h₂erk/k̑-,h₂erk(')-,
114,arenko-,arenko,,,
115,ario-?,ario ario?,,,
116,arqu-,arqu,,,
117,"arōd-, arəd-",arōd arəd,,,
118,aro-m,aro arom,,,
119,aru̯ā,aru̯ā,,,
120,"ā̆s-, based on it azd-, azg(ʰ)-",ā̆s on it azd azg azgʰ,*h₂eh₁s-{1},h₂eh₁s-,
121,ast(ʰ)-,ast astʰ,,,
122,at-,at,1.*h₂et-{1},h₂et-,
123,āt(e)r-,ātr āter,,,
124,"*ati-, ateli-",*ati ateli,,,
125,"ati, ato-",ati ato,,,
126,"ā̆tos, atta",ā̆tos atta,,,
127,1. au-,au,,,
128,"2. au-, au̯-es-, au-s-",au au̯ au̯es au aus,2.*h₂u̯es-,h₂u̯es-,
129,"3. au-, au̯e, u̯ē̆-",au au̯e u̯ē̆,?*h₃u̯ei̯g-{1},h₃u̯ei̯g-,
130,"4. au-, u- : u̯ē̆-, u̯o-",au u : u̯ē̆ u̯o,,,
131,"5. au̯-, au̯ē-",au̯ au̯ē,?*Heu̯-{1},Heu̯-,
132,"6. au̯-, au̯ed-",au̯ au̯ed,"*u̯ed-{1}, *h₂u̯edH-{1}, ?*u̯end-{1}, ?*h₂u̯ei̯d-{1}","u̯ed-, h₂u̯edH-, *u̯end-, *h₂u̯ei̯d-",
133,"7. au̯-, au̯ē-, au̯ēi-",au̯ au̯ē au̯ēi,"*h₁eu̯H-{1}, *h₂eu̯-{1}",,
134,"8. au̯-, au̯ēi-",au̯ au̯ēi,"*h₁eu̯-{1}, ?*h₂u̯ei̯s-{1}",,
135,"9. au̯(e)-, au̯ed-, au̯er-",au̯ au̯e au̯ed au̯er,"?*h₂u̯erh₁-{1}, *h₂u̯ers-{1}",,
136,"10. au̯(e)-, au̯ē(i)-, u̯ē-",au̯ au̯e au̯ē au̯ēi u̯ē,*h₂u̯eh₁-,,
137,"11. au̯ē-, (u̯e-d(ʰ)-?)",au̯ē ?) u̯e u̯ed(ʰ u̯ed(ʰ?),,,
138,"au̯eg-, u̯ōg-, aug-, ug-",au̯eg u̯ōg aug ug,"*h₂eu̯g-, *h₂u̯eks-{1}",,
139,"au̯ei-, əu̯ei-?",au̯ei əu̯ei əu̯ei?,,,
140,au̯es-,au̯es,1.*h₂u̯es-{1},,
141,aug-,aug,,,
142,"augʰ-, ugʰ-",augʰ ugʰ,,,
143,au̯iǵ-,au̯iǵ,,,
144,"auqʷ(ʰ)- : uqʷ(ʰ)-, probably also u̯eqʷ(ʰ)-",auqʷ auqʷʰ : uqʷ uqʷʰ u̯eqʷ u̯eqʷʰ,,,
145,au-lo-s : ēu-l-,au aulo aulos : ēu ēul,,,
146,au̯o-s,au̯o au̯os,,,
147,aus-,aus,*h₂eu̯s-,,
148,"baˣb-, bʰaˣbʰ-, paˣp-",baˣb bʰaˣbʰ paˣp,,,
149,baba-,baba,,,
150,badi̯os,badi̯os,,,
151,"baitā, or paitā?",baitā or paitā?,,,
152,bak-,bak,,,
153,"bal-, balbal-",bal balbal,,,
154,bal-bal-,bal balbal,,,
155,baˣmb-,baˣmb,,,
156,"baˣmb-, bʰaˣmbʰ-, paˣmp-, pʰaˣmpʰ-",baˣmb bʰaˣmbʰ paˣmp pʰaˣmpʰ,,,
157,band-,band,,,
158,bar-bar-,bar barbar,,,
159,bata-,bata,,,
160,bau,bau,,,
161,bdel-,bdel,,,
162,"bē, bā",bē bā,,,
163,bed-,bed,,,
164,1. bel-,bel,,,
165,2. bel-,bel,,,
166,"bend-, bṇd-no-",bend bṇd bṇdno,,,
167,"1. b(e)u-, bʰ(e)u-",bu beu bʰu bʰeu,,,
168,"2. b(e)u-, bʰ(e)ū̆-",bu beu bʰū̆ bʰeū̆,,,
169,bis-(t)li-,bis bisli bis bistli,,,
170,blat-,blat,,,
171,blē-,blē,,,
172,"blou-, bʰlou-?, plou-",blou bʰlou bʰlou? plou,,,
173,bol-,bol,,,
174,"brangʰ-, brongʰ-?",brangʰ brongʰ brongʰ?,,,
175,breuq-,breuq,,,
176,bronk-,bronk,,,
177,bu-,bu,,,
178,"1. bʰā-, bʰō-, bʰə-",bʰā bʰō bʰə,1.*bʰeh₂-{1},,
179,2. bʰā-,bʰā,2.*bʰeh₂-{1},,
180,bʰabʰā,bʰabʰā,,,
181,bʰā̆d-,bʰā̆d,,,
182,1. bʰag-,bʰag,*bʰag-{1},,
183,2. bʰag-,bʰag,,,
184,bʰāgó-s,bʰāgó bʰāgós,,,
185,bʰā̆gʰ-,bʰā̆gʰ,,,
186,bʰāǵʰú-s,bʰāǵʰú bʰāǵʰús,,,
187,bʰar- : bʰor- : bʰr̥-,bʰar : bʰor : bʰr̥,,,
188,bʰaru-,bʰaru,,,
189,"bʰares-, bʰores-",bʰares bʰores,,,
190,bʰardʰā,bʰardʰā,,,
191,"bʰarekʷ-, or bʰ<sub>e</sub>rekʷ-",bʰarekʷ or bʰerekʷ,*bʰrekʷ-,,
192,bʰares-,bʰares,,,
193,bʰasko-,bʰasko,,,
194,"bʰāso-, or bʰēso-",bʰāso or bʰēso,,,
195,bʰāt- : bʰət-,bʰāt : bʰət,,,
196,1. bʰā̆u- : bʰū̆-,bʰā̆u : bʰū̆,?*bʰeu̯d-{1},,
197,2. bʰāu-,bʰāu,,,
198,"1. b(ʰ)e, and b(ʰ)eǵʰ",be bʰe beǵʰ bʰeǵʰ,,,
199,"2. bʰē̆, bʰō̆",bʰē̆ bʰō̆,,,
200,"bʰē-, bʰō-",bʰē bʰō,"?*bʰeh₁-{1}, *bʰeh₃g-",,
201,"bʰebʰru-, bʰebʰro-",bʰebʰru bʰebʰro,,,
202,1. bʰedʰ-,bʰedʰ,*bʰedʰh₂-{1},,
203,2. bʰedʰ-,bʰedʰ,*bʰeh₁dʰ-{1},,
204,"bʰeg-, bʰeng-",bʰeg bʰeng,*bʰeg-{1},,
205,bʰēgʰ- : bʰōgʰ-,bʰēgʰ : bʰōgʰ,*bʰeh₁g̑ʰ-{1},,
206,bʰegʷ-,bʰegʷ,*bʰegʷ-,,
207,bʰei-,bʰei,,,
208,bʰeid-,bʰeid,*bʰei̯d-,,
209,1. bʰeidʰ-,bʰeidʰ,*bʰei̯dʰ-,,
210,2. bʰeidʰ-,bʰeidʰ,,,
211,"bʰei(ə)-, bʰī-",bʰei bʰeiə bʰī,*bʰei̯H-{0},,
212,bʰeigʷ-,bʰeigʷ,,,
213,"1. bʰel-, Balto-Slavic also bʰelə-",bʰel bʰelə,,,
214,2. bʰel-,bʰel,,,
215,"3. bʰel-, bʰlē-",bʰel bʰlē,*bʰleh₁-,,
216,"4. bʰel-, and bʰlē-, bʰlō-, bʰlə-",bʰel bʰlē bʰlō bʰlə,*bʰleh₃-{1},,
217,"5. bʰel-,  cʰiefly witʰ suffixes: bʰ<sub>e</sub>ləǵ-, bʰ<sub>e</sub>lə-n-ǵ-, bʰeleǵ-, bʰl̥ḱ-",bʰel cʰiefly witʰ : bʰeləǵ bʰelə bʰelən bʰelənǵ bʰeleǵ bʰl̥ḱ,?*bʰelk-{1},,
218,6. bʰel-,bʰel,?*bʰelH-{1},,
219,bʰ(e)lāg-,bʰlāg bʰelāg,,,
220,bʰeld-,bʰeld,?*bʰeld-{1},,
221,bʰeleg-,bʰeleg,*bʰleg/g̑-,,
222,bʰeleu-,bʰeleu,?2.*bʰleu̯H-{1},,
223,bʰelǵʰ-,bʰelǵʰ,*bʰelg̑ʰ-{1},,
224,bʰen-,bʰen,?*bʰen-{1},,
225,bʰend-,bʰend,?*bʰend-{1},,
226,bʰendʰ-,bʰendʰ,*bʰendʰ-{1},,
227,"bʰenǵʰ-, bʰn̥ǵʰ-, adj. bʰn̥ǵʰú-s",bʰenǵʰ bʰn̥ǵʰ bʰn̥ǵʰú bʰn̥ǵʰús,*bʰeng̑ʰ-,,
228,1. bʰer-,bʰer,*bʰer-,,
229,2. bʰer-,bʰer,*bʰerh₂-{1},,
230,3. bʰer-,bʰer,*bʰerH-{1},,
231,4. bʰer-,bʰer,,,
232,5. bʰer-,bʰer,,,
233,6. bʰer-,bʰer,*bʰerg̑-{1},,
234,7. bʰer-,bʰer,,,
235,"bʰeredʰ-, bʰṛdʰo-",bʰeredʰ bʰṛdʰo,?*bʰerdʰ-{1},,
236,bʰereg-,bʰereg,,,
237,"bʰerəǵ-, bʰrēǵ-",bʰerəǵ bʰrēǵ,*bʰreh₁g̑-{1},,
238,"bʰereǵʰ-, bʰerǵʰos-",bʰereǵʰ bʰerǵʰos,*bʰerg̑ʰ-{1},,
239,"bʰerəḱ-, bʰrēḱ-",bʰerəḱ bʰrēḱ,,,
240,1. bʰerem-,bʰerem,,,
241,2. bʰerem-,bʰerem,"*bʰrem-{1}, ?*gʷrem-{1}",,
242,bʰeres-,bʰeres,,,
243,bʰ(e)reu- : bʰ(e)rū̆-,bʰreu bʰereu : bʰrū̆ bʰerū̆,*bʰeru̯-{1},,
244,bʰerǵʰ-,bʰerǵʰ,?*bʰergʰ-{1},,
245,"bʰ<sub>e</sub>rug-, bʰrug-, bʰorg-",bʰerug bʰrug bʰorg,,,
246,1. bʰes-,bʰes,"?*bʰes-{1}, ?*bʰseH-{1}",,
247,2. bʰes-,bʰes,,,
248,"bʰeu-, bʰeu̯ə-, bʰu̯ā-, bʰu̯ē- : bʰō̆u- : bʰū-",bʰeu bʰeu̯ə bʰu̯ā bʰu̯ē : bʰō̆u : bʰū,*bʰu̯eh₂-{1},,
249,"bʰeudʰ-, nasalized bʰu-n-dʰ-",bʰeudʰ bʰu bʰun bʰundʰ,*bʰeu̯dʰ-,,
250,1. bʰeug-,bʰeug,,,
251,"2. bʰeug-, bʰeugʰ-",bʰeug bʰeugʰ,2.*bʰeu̯g-{1},,
252,"3. bʰeug-, bʰeugʰ-",bʰeug bʰeugʰ,*bʰeu̯gʰ-{1},,
253,4. bʰeug-,bʰeug,,,
254,bʰidʰ-,bʰidʰ,,,
255,"bʰili-, bʰilo-",bʰili bʰilo,,,
256,bʰlaǵ-,bʰlaǵ,?*bʰleh₂g-{1},,
257,bʰlagʰ-men-,bʰlagʰ bʰlagʰmen,,,
258,bʰlē-,bʰlē,*bʰleh₁-,,
259,"bʰlē̆d-, bʰl̥d-",bʰlē̆d bʰl̥d,?*bʰled-{1},,
260,bʰlegʷ-,bʰlegʷ,,,
261,1. bʰlē̆i- : bʰləi- : bʰlī-,bʰlē̆i : bʰləi : bʰlī,,,
262,2. bʰlei-,bʰlei,?*bʰlei̯d-{1},,
263,"bʰlē̆iǵ-, bʰlīǵ-",bʰlē̆iǵ bʰlīǵ,?*bʰlei̯g-{1},,
264,bʰleiq-,bʰleiq,?*bʰlei̯g-{1},,
265,bʰlendʰ-,bʰlendʰ,?*bʰlendʰ-{1},,
266,bʰles-,bʰles,,,
267,bʰleu-,bʰleu,"1.*bʰleu̯H-{1}, ?*bʰleu̯dh₂-{1}",,
268,1. bʰlēu- : bʰləu- : bʰlū-,bʰlēu : bʰləu : bʰlū,,,
269,2. bʰlēu- : bʰləu- : bʰlū-,bʰlēu : bʰləu : bʰlū,,,
270,bʰleu-(k-),bʰleu bʰleu bʰleu bʰleuk bʰleuk,?*bʰleu̯k-{1},,
271,bʰlē-u̯o-s,bʰlē bʰlēu̯o bʰlēu̯os,,,
272,bʰleus-,bʰleus,,,
273,bʰləido-s,bʰləido bʰləidos,,,
274,bʰlīǵ- : *bʰlēig-,bʰlīǵ : *bʰlēig,*bʰlei̯g̑-,,
275,bʰlō̆k-,bʰlō̆k,,,
276,bʰlos-q-,bʰlos bʰlosq,,,
277,bʰog-,bʰog,,,
278,"bʰō̆gʰ-, or bʰā̆gʰ-",bʰō̆gʰ or bʰā̆gʰ,,,
279,"bʰōi- : bʰəi- : bʰī-, bʰii̯ə-",bʰōi : bʰəi : bʰī bʰii̯ə,*bʰei̯h₂-{0},,
280,bʰok-,bʰok,,,
281,bʰolo-,bʰolo,,,
282,bʰorgʷo-s,bʰorgʷo bʰorgʷos,,,
283,bʰoso-s,bʰoso bʰosos,,,
284,bʰoudʰi-,bʰoudʰi,,,
285,bʰoukʷos,bʰoukʷos,,,
286,"bʰrag-, better bʰrə-g-",bʰrag bʰrə bʰrəg,,,
287,bʰrā́ter-,bʰrā́ter,,,
288,bʰred(ʰ?)-,bʰred bʰredʰ?,?*bʰredʰ-{1},,
289,1. bʰreǵ-,bʰreǵ,*bʰreg/g̑-{1},,
290,2. bʰreǵ-,bʰreǵ,?*bʰrei̯Hk-{1},,
291,"bʰrēi-, bʰrī̆-",bʰrēi bʰrī̆,*bʰrei̯H-,,
292,bʰren-,bʰren,?*bʰrenk-{1},,
293,bʰrendʰ-,bʰrendʰ,?*bʰrend-{1},,
294,"bʰrenk-, bʰronk-",bʰrenk bʰronk,,,
295,bʰre(n)ḱ-,bʰreḱ bʰrenḱ,"?*bʰRek̑-{1}, ?*bʰRenk̑-{1}",,
296,bʰren-to-s,bʰren bʰrento bʰrentos,,,
297,bʰres-,bʰres,,,
298,"bʰreu-, bʰreu-d-",bʰreu bʰreu bʰreud,,,
299,"1. bʰrē̆u-, bʰrū̆-",bʰrē̆u bʰrū̆,2.*bʰreu̯H-{1},,
300,"2. bʰrēu-, bʰrū-",bʰrēu bʰrū,,,
301,bʰreu-ḱ-,bʰreu bʰreuḱ,"?*bʰreu̯k-{1}, ?*bʰreu̯k̑-{1}",,
302,1. bʰreu-s-,bʰreu bʰreus,,,
303,2. bʰreu-s-,bʰreu bʰreus,*bʰreu̯s-{1},,
304,"3. bʰreus-, bʰrū̆s-",bʰreus bʰrū̆s,,,
305,"bʰroisqo-, bʰrisqo-",bʰroisqo bʰrisqo,,,
306,1. bʰrū-,bʰrū,,,
307,"2. bʰrū-, bʰrēu-",bʰrū bʰrēu,,,
308,bʰrūg-,bʰrūg,?*bʰreu̯Hg/g̑-{1},,
309,bʰrugʰ-no-,bʰrugʰ bʰrugʰno,,,
310,bʰudʰ-m(e)n,bʰudʰ bʰudʰmn bʰudʰ bʰudʰmen,,,
311,"bʰū̆ǵo-s, familiar form bʰukko-s",bʰū̆ǵo bʰū̆ǵos familiar bʰukko bʰukkos,,,
312,dā-,dā,?*deH-{1},,
313,"dā : də-, and dāi- : dəi-, dī̆-",dā : də dāi : dəi dī̆,"*deh₂(i̯)-{0}, *deh₂p-{1}",,
314,"dāiu̯ēr, genitive daiu̯rés",dāiu̯ēr daiu̯rés,,,
315,daḱru-,daḱru,,,
316,"dāu-, dəu-, dū̆-",dāu dəu dū̆,*deh₂u̯-{1},,
317,*dəǵʰ-mó-,*dəǵʰ *dəǵʰmó,,,
318,"de-, do-",de do,,,
319,"dē- : də-, and dēi-, dī-",dē : də dēi dī,1.*deh₁-,,
320,dēg-,dēg,,,
321,"1. dei-, dei̯ə-, dī-, di̯ā-",dei dei̯ə dī di̯ā,"*dei̯h₂-{1}, ?*di̯eu̯t-{1}",,
322,"2. dei̯ə-, di̯ā-, di̯ə-, dī-",dei̯ə di̯ā di̯ə dī,*dei̯h₁-{1},,
323,deiǵʰ-,deiǵʰ,,,
324,deiḱ-,deiḱ,1.*dei̯k̑-,,
325,1. deḱ-,deḱ,"*dek̑-, *dek̑s-{1}, ?*dek(ʷ)s-{1}",,
326,"2. deḱ- : doḱ-, dēḱ-",deḱ : doḱ dēḱ,,,
327,"deḱm̥, deḱm̥-t, deḱu-",deḱm̥ deḱm̥ deḱm̥t deḱu,,,
328,1. del-,del,,,
329,2. del-,del,,,
330,"3. del-, dol-, delə-",del dol delə,"*delh₁-{1}, *delgʰ-{1}",,
331,4. del-,del,,,
332,5. del-,del,*delg̑ʰ-{1},,
333,"dem-, demə-",dem demə,1.*demh₂-{1},,
334,"demə-, domə-, d<sub>o</sub>mə-",demə domə domə,2.*demh₂-,,
335,demel-,demel,,,
336,denḱ-,denḱ,*denk̑-{1},,
337,1. dens-,dens,*dens-,,
338,2. dens-,dens,,,
339,depʰ-,depʰ,,,
340,"1. der- : dōr-, d<sub>e</sub>r-, or dōr- : dər-",der : dōr der or dōr : dər,,,
341,"2. der-, reduplicated der-der-, dr̥d<sub>o</sub>r-, broken reduplication dor-d-, dr̥-d-",der der derder dr̥dor dor dord dr̥ dr̥d,,,
342,"3. der-, drā-, dreb-, drem-, dreu-",der drā dreb drem dreu,"1.*drem-{1}, 1.*dreh₂-{1}, *dreu̯-{1}",,
343,"4. der-, ʰeavy-base derə-, drē-",der ʰeavy ʰeavybase derə drē,"*der-{1}, ?*dreu̯H-{1}, ?*derHgʰ-{1}, *drep-",,
344,derbʰ-,derbʰ,?*derbʰ-{1},,
345,der(ep)-,der derep,,,
346,"derə-, drā-",derə drā,?2.*dreh₂-{1},,
347,dergʰ-,dergʰ,*dregʰ-{1},,
348,derḱ-,derḱ,*derk̑-,,
349,"deru-, dō̆ru-, dr(e)u-, drou-, dreu̯ə- : drū-",deru dō̆ru dru dreu drou dreu̯ə : drū,,,
350,"des-, dēs-",des dēs,"*des-{1}, ?2.*deh₁-{1}",,
351,1. deu-,deu,*du̯eH-{1},,
352,"2. deu-, or dou- : du-",deu or dou : du,*deu̯h₂-{1},,
353,"3. deu-, deu̯ə-, du̯ā-, dū-",deu deu̯ə du̯ā dū,?*deu̯s-{1},,
354,deuk-,deuk,*deu̯k-{0},,
355,deup- : kteup-?,deup : kteup kteup?,,,
356,dəǵʰ-mó-s,dəǵʰ dəǵʰmó dəǵʰmós,,,
357,digʰ-,digʰ,,,
358,"dī̆p-ro-, dī̆p-<sub>e</sub>rā",dī̆p dī̆pro dī̆p dī̆perā,,,
359,dl̥kú-,dl̥kú,,,
360,"dn̥ǵʰū, dn̥ǵʰu̯ā",dn̥ǵʰū dn̥ǵʰu̯ā,,,
361,"dō- : də-, also dō-u- : dəu- : du-",dō : də dō dōu : dəu : du,*deh₃-,deh₃-,
362,dous-,dous,,,
363,"drē- : drə-, extended dr-ē̆m-",drē : drə dr drē̆m,"2.*drem-{1}, ?*dreh₁-{1}, ?*derdʰ-{1}",,
364,dreǵʰ-,dreǵʰ,?*dreg̑ʰ-,,
365,"dumb-, dumbʰ-?",dumb dumbʰ dumbʰ?,,,
366,dus-,dus,,,
367,du̯ei-,du̯ei,"*du̯ei̯-{1}, ?*du̯ei̯s-",,
368,du̯ō(u),du̯ō du̯ōu,,,
369,"1. dʰā̆bʰ-, nasalized dʰamb(ʰ)-",dʰā̆bʰ dʰamb dʰambʰ,?1.*dʰembʰ-{1},,
370,2. dʰabʰ-,dʰabʰ,*dʰeHbʰ-{1},,
371,dʰā̆l-,dʰā̆l,*dʰalh₁-{1},,
372,"dʰanu-, or dʰonu-",dʰanu or dʰonu,,,
373,dʰau-,dʰau,,,
374,"1. dʰē-, reduplicated dʰē-dʰ(ē)-",dʰē dʰē dʰēdʰ dʰē dʰēdʰē,,,
375,2. dʰē-,dʰē,"*dʰeh₁-{0}, ?*dʰeh₁k-{1}",,
376,"3. dʰē-, dʰə-",dʰē dʰə,,,
377,dʰeb-,dʰeb,,,
378,"dʰebʰ-, dʰebʰ-eu-",dʰebʰ dʰebʰ dʰebʰeu,"*dʰebʰ-{1}, ?3.*dʰembʰ-{1}",,
379,dʰegʷʰ-,dʰegʷʰ,*dʰegʷʰ-,,
380,"dʰē(i)-, also dʰ-ei-?",dʰē dʰēi dʰ dʰei dʰei?,*dʰeh₁(i̯)-,,
381,dʰei̯ə- : dʰi̯ā- : dʰī-,dʰei̯ə : dʰi̯ā : dʰī,*dʰei̯H-{1},,
382,dʰēigʷ- : dʰōigʷ- : dʰīgʷ-,dʰēigʷ : dʰōigʷ : dʰīgʷ,*dʰei̯Hgʷ-{1},,
383,dʰeiǵʰ-,dʰeiǵʰ,*dʰei̯g̑ʰ-,,
384,"1. dʰel-, dʰolo-",dʰel dʰolo,,,
385,2. dʰel-,dʰel,,,
386,3. dʰel-,dʰel,,,
387,dʰelbʰ-,dʰelbʰ,*dʰelbʰ-,,
388,dʰelg-,dʰelg,,,
389,"dʰelgʰ-, dʰelg-",dʰelgʰ dʰelg,,,
390,"dʰem-, dʰemə-",dʰem dʰemə,*dʰmeH-{1},,
391,"dʰembʰ-, dʰm̥bʰ-",dʰembʰ dʰm̥bʰ,2.*dʰembʰ-{1},,
392,1. dʰen-,dʰen,*dʰenh₂-,,
393,2. dʰen-,dʰen,,,
394,3. dʰen-,dʰen,,,
395,1. dʰengʰ-,dʰengʰ,,,
396,2. dʰengʰ-,dʰengʰ,*dʰegʷʰh₂-{1},,
397,"1. dʰer-, dʰerə-",dʰer dʰerə,*dʰreh₂gʰ-,,
398,"2. dʰer-, dʰerə-",dʰer dʰerə,"*dʰer-, *delg̑ʰ-{1}, *dregʰ-{1}, ?2.*dʰreu̯gʰ-",,
399,"3. dʰer-, dʰereu-, dʰrē̆n-",dʰer dʰereu dʰrē̆n,1.*dʰreu̯-,,
