,texas_root,web_root
1897,"5. ster-, sterə- : strē-, steru- : streu-","ster-5,
sterə- : strē-, steru- : streu-, ster-5, sterə- : strē-, steru- : streu-"
1898,6. ster-,"ster-6, ster-6"
1899,7. (s)ter-n-,"(s)ter-7n-, (s)ter-7n-"
1900,8. (s)ter-,"(s)ter-8, (s)ter-8"
1901,"sterg-, sterk-","sterg-,
sterk-, sterg-, sterk-"
1902,1. (s)teu-,"(s)teu-1, (s)teu-1"
1903,2. steu-,"steu-2, steu-2"
1904,steu̯ə-,"steu̯ə-, steu̯ə-"
1905,"stilp-, stilb-","stilp-,
stilb- ?, stilp-, stilb- ?"
1906,stomen-,"stomen-, stomen-"
1907,"storos, stornos, str̥nos?","storos, stornos
(str̥nos?), storos, stornos (str̥nos?)"
1908,1. streig-,"streig-1, streig-1"
1909,2. streig-,"streig-2, streig-2"
1910,"3. (s)treig-, streid(h)-","(s)treig-3,
streid(h)-, (s)treig-3, streid(h)-"
1911,"strenk-, streng-","strenk-,
streng-, strenk-, streng-"
1912,"(s)trep-, (s)treb-","(s)trep-,
(s)treb-, (s)trep-, (s)treb-"
1913,stru-,"stru-, stru-"
1914,"su-, sū-","su-,
sū-, su-, sū-"
1915,"sū̆-s, suu̯-ós","sū̆-s,
suu̯-ós, sū̆-s, suu̯-ós"
1916,"sū-ro-, sou-ro-","sū-ro-,
sou-ro-, sū-ro-, sou-ro-"
1917,1. sūs-,"sūs-, sūs-"
1918,2. sūs-,"sūs-, sūs-"
1919,su̯ād-,"su̯ād-, su̯ād-"
1920,su̯ard-,"su̯ard-, su̯ard-"
1921,"su̯ei-, su̯i-","su̯ei-,
su̯i-., su̯ei-, su̯i-"
1922,su̯ē̆(i)-,"su̯ē̆(i)-., su̯ē̆(i)-"
1923,1. su̯eid-,"su̯eid-1, su̯eid-1"
1924,2. su̯eid-,"su̯eid-2, su̯eid-2"
1925,su̯ēid-,"su̯ēid-, su̯ēid-"
1926,su̯ek-,"su̯ek-, su̯ek-"
1927,su̯ekrū́-,"su̯ekrū́-., su̯ekrū́-"
1928,"su̯ek̑s, sek̑s, ksek̑s, ksu̯ek̑s, u̯ek̑s : uk̑s","su̯ek̂s,
sek̂s, ksek̂s, ksu̯ek̂s, u̯ek̂s (: uk̂s)., su̯ek̂s, sek̂s, ksek̂s, ksu̯ek̂s, u̯ek̂s (: uk̂s)"
1929,s(u̯)eku̯o-s,"s(u̯)ekʷo-s, s(u̯)ekʷo-s"
1930,1. su̯el(-k)-,"su̯el-1(k-), su̯el-1(k-)"
1931,2. su̯el-,"su̯el-2, su̯el-2"
1932,"3. su̯el-, su̯ol-, sul-","(su̯el-3),
su̯ol-, sul-, (su̯el-3), su̯ol-, sul-"
1933,4. su̯el-,"su̯el-4, su̯el-4"
1934,"su̯e-lo-, su̯elii̯o(n)-","su̯e-lo-,
su̯elii̯o(n)-, su̯e-lo-, su̯elii̯o(n)-"
1935,su̯elplo-s,"su̯elplo-s, su̯elplo-s"
1936,su̯em-,"su̯em-, su̯em-"
1937,su̯en-,"su̯en-, su̯en-"
1938,(s)u̯endh-,"(s)u̯endh-, (s)u̯endh-"
1939,"su̯eng-, su̯enk- : su̯eg-, su̯ek-","su̯eng-,
su̯enk- : su̯eg-, su̯ek-, su̯eng-, su̯enk- : su̯eg-, su̯ek-"
1940,"su̯enk-, sunk-","su̯enk-,
sunk-, su̯enk-, sunk-"
